Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
28/7/2020,H,Lok Ma Chau,Arrival,0,0,0,0
28/7/2020,H,Lok Ma Chau,Departure,0,0,0,0
28/7/2020,H,Man Kam To,Arrival,0,0,0,0
28/7/2020,H,Man Kam To,Departure,0,0,0,0
28/7/2020,H,Sha Tau Kok,Arrival,0,0,0,0
28/7/2020,H,Sha Tau Kok,Departure,0,0,0,0
28/7/2020,H,Shenzhen Bay,Arrival,281,37,9,327
28/7/2020,H,Shenzhen Bay,Departure,1098,125,6,1229
28/7/2020,H,China Ferry Terminal,Arrival,0,0,0,0
28/7/2020,H,China Ferry Terminal,Departure,0,0,0,0
28/7/2020,H,Harbour Control,Arrival,0,0,0,0
28/7/2020,H,Harbour Control,Departure,0,0,0,0
28/7/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
28/7/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
28/7/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
28/7/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
28/7/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
28/7/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
29/7/2020,H,Airport,Arrival,333,0,23,356
29/7/2020,H,Airport,Departure,1143,28,53,1224
29/7/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
29/7/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
29/7/2020,H,Hung Hom,Arrival,0,0,0,0
29/7/2020,H,Hung Hom,Departure,0,0,0,0
29/7/2020,H,Lo Wu,Arrival,0,0,0,0
29/7/2020,H,Lo Wu,Departure,0,0,0,0
29/7/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
29/7/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
29/7/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,36,0,7,43
29/7/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,291,16,6,313
29/7/2020,H,Lok Ma Chau,Arrival,0,0,0,0
29/7/2020,H,Lok Ma Chau,Departure,0,0,0,0
29/7/2020,H,Man Kam To,Arrival,0,0,0,0
29/7/2020,H,Man Kam To,Departure,0,0,0,0
29/7/2020,H,Sha Tau Kok,Arrival,0,0,0,0
29/7/2020,H,Sha Tau Kok,Departure,0,0,0,0
29/7/2020,H,Shenzhen Bay,Arrival,306,25,4,335
29/7/2020,H,Shenzhen Bay,Departure,2295,267,14,2576
29/7/2020,H,China Ferry Terminal,Arrival,0,0,0,0
29/7/2020,H,China Ferry Terminal,Departure,0,0,0,0
29/7/2020,H,Harbour Control,Arrival,0,0,0,0
29/7/2020,H,Harbour Control,Departure,0,0,0,0
29/7/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
29/7/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
29/7/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
29/7/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
29/7/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
29/7/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
30/7/2020,H,Airport,Arrival,250,3,20,273
30/7/2020,H,Airport,Departure,779,23,36,838
30/7/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
30/7/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
30/7/2020,H,Hung Hom,Arrival,0,0,0,0
30/7/2020,H,Hung Hom,Departure,0,0,0,0
30/7/2020,H,Lo Wu,Arrival,0,0,0,0
30/7/2020,H,Lo Wu,Departure,0,0,0,0
30/7/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
30/7/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
30/7/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,39,2,1,42
30/7/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,321,20,9,350
30/7/2020,H,Lok Ma Chau,Arrival,0,0,0,0
30/7/2020,H,Lok Ma Chau,Departure,0,0,0,0
30/7/2020,H,Man Kam To,Arrival,0,0,0,0
30/7/2020,H,Man Kam To,Departure,0,0,0,0
30/7/2020,H,Sha Tau Kok,Arrival,0,0,0,0
30/7/2020,H,Sha Tau Kok,Departure,0,0,0,0
30/7/2020,H,Shenzhen Bay,Arrival,309,36,3,348
30/7/2020,H,Shenzhen Bay,Departure,1941,228,3,2172
30/7/2020,H,China Ferry Terminal,Arrival,0,0,0,0
30/7/2020,H,China Ferry Terminal,Departure,0,0,0,0
30/7/2020,H,Harbour Control,Arrival,0,0,0,0
30/7/2020,H,Harbour Control,Departure,0,0,0,0
30/7/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
30/7/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
30/7/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
30/7/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
30/7/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
30/7/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
31/7/2020,H,Airport,Arrival,568,3,65,636
31/7/2020,H,Airport,Departure,1681,57,98,1836
31/7/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
31/7/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
31/7/2020,H,Hung Hom,Arrival,0,0,0,0
31/7/2020,H,Hung Hom,Departure,0,0,0,0
31/7/2020,H,Lo Wu,Arrival,0,0,0,0
31/7/2020,H,Lo Wu,Departure,0,0,0,0
31/7/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
31/7/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
31/7/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,56,1,4,61
31/7/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,288,14,5,307
31/7/2020,H,Lok Ma Chau,Arrival,0,0,0,0
31/7/2020,H,Lok Ma Chau,Departure,0,0,0,0
31/7/2020,H,Man Kam To,Arrival,0,0,0,0
31/7/2020,H,Man Kam To,Departure,0,0,0,0
31/7/2020,H,Sha Tau Kok,Arrival,0,0,0,0
31/7/2020,H,Sha Tau Kok,Departure,0,0,0,0
31/7/2020,H,Shenzhen Bay,Arrival,359,39,4,402
31/7/2020,H,Shenzhen Bay,Departure,2336,301,4,2641
31/7/2020,H,China Ferry Terminal,Arrival,0,0,0,0
31/7/2020,H,China Ferry Terminal,Departure,0,0,0,0
31/7/2020,H,Harbour Control,Arrival,0,0,0,0
31/7/2020,H,Harbour Control,Departure,0,0,0,0
31/7/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
31/7/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
31/7/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
31/7/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
31/7/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
31/7/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
1/8/2020,H,Airport,Arrival,571,5,11,587
1/8/2020,H,Airport,Departure,1800,80,82,1962
1/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
1/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
1/8/2020,H,Hung Hom,Arrival,0,0,0,0
1/8/2020,H,Hung Hom,Departure,0,0,0,0
1/8/2020,H,Lo Wu,Arrival,0,0,0,0
1/8/2020,H,Lo Wu,Departure,0,0,0,0
1/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
1/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
1/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,29,1,4,34
1/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,242,21,4,267
1/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
1/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
1/8/2020,H,Man Kam To,Arrival,0,0,0,0
1/8/2020,H,Man Kam To,Departure,0,0,0,0
1/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
1/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
1/8/2020,H,Shenzhen Bay,Arrival,350,50,4,404
1/8/2020,H,Shenzhen Bay,Departure,1861,219,10,2090
1/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
1/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
1/8/2020,H,Harbour Control,Arrival,0,0,0,0
1/8/2020,H,Harbour Control,Departure,0,0,0,0
1/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
1/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
1/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
1/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
1/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
1/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
2/8/2020,H,Airport,Arrival,674,3,46,723
2/8/2020,H,Airport,Departure,1663,59,96,1818
2/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
2/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
2/8/2020,H,Hung Hom,Arrival,0,0,0,0
2/8/2020,H,Hung Hom,Departure,0,0,0,0
2/8/2020,H,Lo Wu,Arrival,0,0,0,0
2/8/2020,H,Lo Wu,Departure,0,0,0,0
2/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
2/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
2/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,32,2,8,42
2/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,233,19,0,252
2/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
2/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
2/8/2020,H,Man Kam To,Arrival,0,0,0,0
2/8/2020,H,Man Kam To,Departure,0,0,0,0
2/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
2/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
2/8/2020,H,Shenzhen Bay,Arrival,338,29,5,372
2/8/2020,H,Shenzhen Bay,Departure,1032,106,4,1142
2/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
2/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
2/8/2020,H,Harbour Control,Arrival,0,0,0,0
2/8/2020,H,Harbour Control,Departure,0,0,0,0
2/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
2/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
2/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
2/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
2/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
2/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
3/8/2020,H,Airport,Arrival,416,2,14,432
3/8/2020,H,Airport,Departure,883,24,112,1019
3/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
3/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
3/8/2020,H,Hung Hom,Arrival,0,0,0,0
3/8/2020,H,Hung Hom,Departure,0,0,0,0
3/8/2020,H,Lo Wu,Arrival,0,0,0,0
3/8/2020,H,Lo Wu,Departure,0,0,0,0
3/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
3/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
3/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,28,4,11,43
3/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,157,4,2,163
3/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
3/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
3/8/2020,H,Man Kam To,Arrival,0,0,0,0
3/8/2020,H,Man Kam To,Departure,0,0,0,0
3/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
3/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
3/8/2020,H,Shenzhen Bay,Arrival,428,22,9,459
3/8/2020,H,Shenzhen Bay,Departure,498,61,1,560
3/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
3/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
3/8/2020,H,Harbour Control,Arrival,0,0,0,0
3/8/2020,H,Harbour Control,Departure,0,0,0,0
3/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
3/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
3/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
3/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
3/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
3/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
4/8/2020,H,Airport,Arrival,693,3,34,730
4/8/2020,H,Airport,Departure,1440,61,91,1592
4/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
4/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
4/8/2020,H,Hung Hom,Arrival,0,0,0,0
4/8/2020,H,Hung Hom,Departure,0,0,0,0
4/8/2020,H,Lo Wu,Arrival,0,0,0,0
4/8/2020,H,Lo Wu,Departure,0,0,0,0
4/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
4/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
4/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,29,2,5,36
4/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,188,21,7,216
4/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
4/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
4/8/2020,H,Man Kam To,Arrival,0,0,0,0
4/8/2020,H,Man Kam To,Departure,0,0,0,0
4/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
4/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
4/8/2020,H,Shenzhen Bay,Arrival,312,30,6,348
4/8/2020,H,Shenzhen Bay,Departure,939,103,6,1048
4/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
4/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
4/8/2020,H,Harbour Control,Arrival,0,0,0,0
4/8/2020,H,Harbour Control,Departure,0,0,0,0
4/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
4/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
4/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
4/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
4/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
4/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
5/8/2020,H,Airport,Arrival,683,3,40,726
5/8/2020,H,Airport,Departure,857,27,42,926
5/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
5/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
5/8/2020,H,Hung Hom,Arrival,0,0,0,0
5/8/2020,H,Hung Hom,Departure,0,0,0,0
5/8/2020,H,Lo Wu,Arrival,0,0,0,0
5/8/2020,H,Lo Wu,Departure,0,0,0,0
5/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
5/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
5/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,31,0,8,39
5/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,255,14,10,279
5/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
5/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
5/8/2020,H,Man Kam To,Arrival,0,0,0,0
5/8/2020,H,Man Kam To,Departure,0,0,0,0
5/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
5/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
5/8/2020,H,Shenzhen Bay,Arrival,301,29,6,336
5/8/2020,H,Shenzhen Bay,Departure,1832,226,6,2064
5/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
5/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
5/8/2020,H,Harbour Control,Arrival,0,0,0,0
5/8/2020,H,Harbour Control,Departure,0,0,0,0
5/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
5/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
5/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
5/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
5/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
5/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
6/8/2020,H,Airport,Arrival,373,3,20,396
6/8/2020,H,Airport,Departure,1195,32,99,1326
6/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
6/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
6/8/2020,H,Hung Hom,Arrival,0,0,0,0
6/8/2020,H,Hung Hom,Departure,0,0,0,0
6/8/2020,H,Lo Wu,Arrival,0,0,0,0
6/8/2020,H,Lo Wu,Departure,0,0,0,0
6/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
6/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
6/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,41,2,5,48
6/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,284,14,7,305
6/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
6/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
6/8/2020,H,Man Kam To,Arrival,0,0,0,0
6/8/2020,H,Man Kam To,Departure,0,0,0,0
6/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
6/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
6/8/2020,H,Shenzhen Bay,Arrival,347,37,2,386
6/8/2020,H,Shenzhen Bay,Departure,2262,302,5,2569
6/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
6/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
6/8/2020,H,Harbour Control,Arrival,0,0,0,0
6/8/2020,H,Harbour Control,Departure,0,0,0,0
6/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
6/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
6/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
6/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
6/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
6/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
7/8/2020,H,Airport,Arrival,672,5,46,723
7/8/2020,H,Airport,Departure,1312,32,117,1461
7/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
7/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
7/8/2020,H,Hung Hom,Arrival,0,0,0,0
7/8/2020,H,Hung Hom,Departure,0,0,0,0
7/8/2020,H,Lo Wu,Arrival,0,0,0,0
7/8/2020,H,Lo Wu,Departure,0,0,0,0
7/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
7/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
7/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,26,1,10,37
7/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,149,12,8,169
7/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
7/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
7/8/2020,H,Man Kam To,Arrival,0,0,0,0
7/8/2020,H,Man Kam To,Departure,0,0,0,0
7/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
7/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
7/8/2020,H,Shenzhen Bay,Arrival,411,32,6,449
7/8/2020,H,Shenzhen Bay,Departure,931,108,2,1041
7/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
7/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
7/8/2020,H,Harbour Control,Arrival,0,0,0,0
7/8/2020,H,Harbour Control,Departure,0,0,0,0
7/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
7/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
7/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
7/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
7/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
7/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
8/8/2020,H,Airport,Arrival,646,5,22,673
8/8/2020,H,Airport,Departure,1594,65,56,1715
8/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
8/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
8/8/2020,H,Hung Hom,Arrival,0,0,0,0
8/8/2020,H,Hung Hom,Departure,0,0,0,0
8/8/2020,H,Lo Wu,Arrival,0,0,0,0
8/8/2020,H,Lo Wu,Departure,0,0,0,0
8/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
8/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
8/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,38,3,5,46
8/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,181,15,4,200
8/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
8/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
8/8/2020,H,Man Kam To,Arrival,0,0,0,0
8/8/2020,H,Man Kam To,Departure,0,0,0,0
8/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
8/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
8/8/2020,H,Shenzhen Bay,Arrival,370,51,7,428
8/8/2020,H,Shenzhen Bay,Departure,852,105,1,958
8/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
8/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
8/8/2020,H,Harbour Control,Arrival,0,0,0,0
8/8/2020,H,Harbour Control,Departure,0,0,0,0
8/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
8/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
8/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
8/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
8/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
8/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
9/8/2020,H,Airport,Arrival,621,10,28,659
9/8/2020,H,Airport,Departure,1522,47,84,1653
9/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
9/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
9/8/2020,H,Hung Hom,Arrival,0,0,0,0
9/8/2020,H,Hung Hom,Departure,0,0,0,0
9/8/2020,H,Lo Wu,Arrival,0,0,0,0
9/8/2020,H,Lo Wu,Departure,0,0,0,0
9/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
9/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
9/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,42,4,6,52
9/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,113,6,3,122
9/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
9/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
9/8/2020,H,Man Kam To,Arrival,0,0,0,0
9/8/2020,H,Man Kam To,Departure,0,0,0,0
9/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
9/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
9/8/2020,H,Shenzhen Bay,Arrival,415,37,1,453
9/8/2020,H,Shenzhen Bay,Departure,646,78,2,726
9/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
9/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
9/8/2020,H,Harbour Control,Arrival,0,0,0,0
9/8/2020,H,Harbour Control,Departure,0,0,0,0
9/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
9/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
9/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
9/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
9/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
9/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
10/8/2020,H,Airport,Arrival,528,10,22,560
10/8/2020,H,Airport,Departure,749,19,78,846
10/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
10/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
10/8/2020,H,Hung Hom,Arrival,0,0,0,0
10/8/2020,H,Hung Hom,Departure,0,0,0,0
10/8/2020,H,Lo Wu,Arrival,0,0,0,0
10/8/2020,H,Lo Wu,Departure,0,0,0,0
10/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
10/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
10/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,33,3,7,43
10/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,98,3,4,105
10/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
10/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
10/8/2020,H,Man Kam To,Arrival,0,0,0,0
10/8/2020,H,Man Kam To,Departure,0,0,0,0
10/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
10/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
10/8/2020,H,Shenzhen Bay,Arrival,530,43,2,575
10/8/2020,H,Shenzhen Bay,Departure,500,49,1,550
10/8/2020,H,China Ferry Terminal,Arrival,0,0,0,0
10/8/2020,H,China Ferry Terminal,Departure,0,0,0,0
10/8/2020,H,Harbour Control,Arrival,0,0,0,0
10/8/2020,H,Harbour Control,Departure,0,0,0,0
10/8/2020,H,Kai Tak Cruise Terminal,Arrival,0,0,0,0
10/8/2020,H,Kai Tak Cruise Terminal,Departure,0,0,0,0
10/8/2020,H,Macau Ferry Terminal,Arrival,0,0,0,0
10/8/2020,H,Macau Ferry Terminal,Departure,0,0,0,0
10/8/2020,H,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
10/8/2020,H,Tuen Mun Ferry Terminal,Departure,0,0,0,0
11/8/2020,H,Airport,Arrival,798,2,33,833
11/8/2020,H,Airport,Departure,988,23,57,1068
11/8/2020,H,Express Rail Link West Kowloon,Arrival,0,0,0,0
11/8/2020,H,Express Rail Link West Kowloon,Departure,0,0,0,0
11/8/2020,H,Hung Hom,Arrival,0,0,0,0
11/8/2020,H,Hung Hom,Departure,0,0,0,0
11/8/2020,H,Lo Wu,Arrival,0,0,0,0
11/8/2020,H,Lo Wu,Departure,0,0,0,0
11/8/2020,H,Lok Ma Chau Spur Line,Arrival,0,0,0,0
11/8/2020,H,Lok Ma Chau Spur Line,Departure,0,0,0,0
11/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Arrival,23,1,2,26
11/8/2020,H,Hong Kong-Zhuhai-Macao Bridge,Departure,167,4,3,174
11/8/2020,H,Lok Ma Chau,Arrival,0,0,0,0
11/8/2020,H,Lok Ma Chau,Departure,0,0,0,0
11/8/2020,H,Man Kam To,Arrival,0,0,0,0
11/8/2020,H,Man Kam To,Departure,0,0,0,0
11/8/2020,H,Sha Tau Kok,Arrival,0,0,0,0
11/8/2020,H,Sha Tau Kok,Departure,0,0,0,0
11/8/2020,H,Shenzhen Bay,Arrival,383,44,3,430
