Date,Festive Period,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
21/4/2019,C,China Ferry Terminal,Arrival,7999,1014,1156,10169
21/4/2019,C,China Ferry Terminal,Departure,4595,1681,1679,7955
21/4/2019,C,Harbour Control,Arrival,1,0,161,162
21/4/2019,C,Harbour Control,Departure,10,0,5,15
21/4/2019,C,Kai Tak Cruise Terminal,Arrival,3827,922,996,5745
21/4/2019,C,Kai Tak Cruise Terminal,Departure,2858,491,3093,6442
21/4/2019,C,Macau Ferry Terminal,Arrival,21289,1248,4414,26951
21/4/2019,C,Macau Ferry Terminal,Departure,17532,1427,5153,24112
21/4/2019,C,Tuen Mun Ferry Terminal,Arrival,1481,21,46,1548
21/4/2019,C,Tuen Mun Ferry Terminal,Departure,1462,13,59,1534
22/4/2019,C,Airport,Arrival,82658,7251,17195,107104
22/4/2019,C,Airport,Departure,45399,9743,28011,83153
22/4/2019,C,Express Rail Link West Kowloon,Arrival,39940,9638,1082,50660
22/4/2019,C,Express Rail Link West Kowloon,Departure,8266,7955,2418,18639
22/4/2019,C,Hung Hom,Arrival,5440,840,277,6557
22/4/2019,C,Hung Hom,Departure,1598,743,1256,3597
22/4/2019,C,Lo Wu,Arrival,162235,22507,2020,186762
22/4/2019,C,Lo Wu,Departure,75943,19584,1992,97519
22/4/2019,C,Lok Ma Chau Spur Line,Arrival,89471,19877,687,110035
22/4/2019,C,Lok Ma Chau Spur Line,Departure,47412,13919,616,61947
22/4/2019,C,Hong Kong-Zhuhai-Macao Bridge,Arrival,45025,10285,4357,59667
22/4/2019,C,Hong Kong-Zhuhai-Macao Bridge,Departure,19365,24762,5895,50022
22/4/2019,C,Lok Ma Chau,Arrival,49762,14631,954,65347
22/4/2019,C,Lok Ma Chau,Departure,20822,7209,1341,29372
22/4/2019,C,Man Kam To,Arrival,2800,2580,34,5414
22/4/2019,C,Man Kam To,Departure,1521,1166,18,2705
22/4/2019,C,Sha Tau Kok,Arrival,4266,694,74,5034
22/4/2019,C,Sha Tau Kok,Departure,2225,463,109,2797
22/4/2019,C,Shenzhen Bay,Arrival,70670,14154,1618,86442
22/4/2019,C,Shenzhen Bay,Departure,25069,12556,2107,39732
22/4/2019,C,China Ferry Terminal,Arrival,9496,1060,1042,11598
22/4/2019,C,China Ferry Terminal,Departure,2842,1123,1567,5532
22/4/2019,C,Harbour Control,Arrival,2,44,87,133
22/4/2019,C,Harbour Control,Departure,0,45,5,50
22/4/2019,C,Kai Tak Cruise Terminal,Arrival,643,368,27,1038
22/4/2019,C,Kai Tak Cruise Terminal,Departure,493,318,1386,2197
22/4/2019,C,Macau Ferry Terminal,Arrival,23368,1199,3868,28435
22/4/2019,C,Macau Ferry Terminal,Departure,9550,1221,4086,14857
